ID,collection_year,country,div_domain,div_type,performance,N_team,N_ind,students
10.1002/jocb.363,,,cognitive,"Ethnicity, Gender, Age, Political orientation",Creativity,,,
10.1016/j.jebo.2020.06.030,,,cognitive,,Venture performance,,,
10.1016/j.intman.2019.100689,,,job-related,Team member in Global Virtual Teams (GVTs),Task outcomes and psychological outcomes,804,5728,no
10.5465/ambpp.2021.11751abstract,,Middle East,demographic,Ethnic,Group effectiveness,56,354,no
10.1108/ijppm-01-2021-0025,,Middle East,demographic,,Group effectiveness,56,354,no
10.5465/256281,,,,,,,,
10.1111/caim.12110,,,job-related,,creativity,32,,no
10.1017/jmo.2016.34,2016,China,demographic,Cross-national team,Team creativity,60,,no
10.1093/acprof:oso/9780195147308.003.0003,2003,,cognitive,,Creativity,,,no
10.1108/jerer-04-2018-0018,2013 [2010-2016],,job-related,Work experience and ability,Overall group performance,150,,yes
4127,,World's top soccer league (data may consist of multiple countries),demographic,Cultural,Group performance,,,no
10.1109/educon.2019.8725280,1991.5 [1965-2018],Italy,,Gender heterogeneity,Research productivity,,,no
10.2139/ssrn.3181323,,,,,Other outcomes (not specified),,,
2336,,,,Demographic and Cognitive,"Knowledge Sharing, Knowledge Creation and Innovation Performance",,,
10.5465/ambpp.2014.12511abstract,2000/1-2009/10,Germany,demographic,"Ethnic, national and linguistic",Individual performance and team game scores,28,"1,723",no
10.1108/1536-541011047903,,,job-related,Functional,Business plan performance,95,,no
10.1037/gdn0000073,,,cognitive; demographic,Racio-ethnic,Creativity,51,,
10.1002/job.220,,,,Ethnic,"Satisfaction, Commitment, and Performance",54,,no
10.1016/j.jpubeco.2020.104332,,Kenya,demographic,Ethnic,Team performance,,,no
10.2139/ssrn.2910819,,Asia,demographic,,Firm performance,,,no
10.1016/j.jbusres.2005.10.006,,,demographic,experience,Organizational performance,,,no
10.1108/mbe-04-2019-0037,,,demographic; cognitive; job-related,ethnic,creativity and performance,43,217,no
10.1108/tpm-05-2015-0026,2008.5 [2004-2013],,cognitive; job-related,Tenure and skills,Team performance in the Tour de France,208,,no
40554,,,demographic,,Team learning and performance,,,no
10.1177/0018726710378384,,,,"Gender, tenure, and functional background",Objective indicators of organizational performance,42,,no
43266,,,job-related,Ethnic and cognitive,Team performance and team satisfaction,,,no
10.1007/s10726-005-6490-7,,,demographic,"Demographic, Abilities, and Personality Traits",Team Functioning,99,,yes
4644,,,demographic; job-related,,Team performance and individual team member satisfaction,58,,no
10.1016/j.obhdp.2010.11.003,,,job-related,Goal orientation (Learning and Performance),Group performance,,,
10.5465/ambpp.2017.14890abstract,,,job-related,Harmonious passion and Obsessive passion,Team innovation,226,"1,558",no
10.1002/job.265,,United States,demographic,,Sales performance,365,,no
10.1108/so-02-2015-0007,,,job-related,Team composition,Team Performance,,216,no
10.1007/s10824-012-9173-7,2012,,demographic; cognitive; job-related,Cultural background,Overall performance of German movies at home and abroad,,,no
4364,,,,Deep-level compositional,Team effectiveness,,,yes
40557,2007 [2002-2012],,demographic,heterogeneity (including Race ),"firm performance, TMT turnover",,,no
4276,,,,Demographic,,,,
43120,,,,,,,,no
10.1111/radm.12244,,,job-related,R&D team,Innovative performance,,,no
10.1016/j.ins.2008.10.028,,,cognitive,Ability and cognitive style,Group decision accuracy,,,no
43095,,,cognitive,Learning style,Team learning process and outcomes of conflict and performance,33,,no
43096,,,demographic; cognitive,,"Team learning process, conflict resolution, and team performance",33,,no
10.1142/s1363919621500572,,,,,Innovation Capacity,,672,no
10.2139/ssrn.2373989,,,demographic; cognitive; job-related,ethnic,creativity,,,
10.1177/0734371x11421497,2001.5 [2001-2002],Netherlands,demographic,Ethnic,Ethnic minority representation,,,no
10.5465/ambpp.2004.13863022,,,,,Sales volumes and book-to-market equity,96,,no
10.5465/ambpp.2018.13761abstract,,United States,job-related,Professional,Innovation,74,,no
5574,,,job-related,,Creativity,,74,no
19367,,,demographic; cognitive; job-related,,Innovation,,,no
10.1111/jems.12051,,,,Gender,Social goods provision and office performance,,,no
10.1037/10189-003,,,demographic; cognitive; job-related,Ethnic and social identity,,,,
10.5465/ambpp.2017.13395abstract,,South Korea,demographic; job-related,job-related and demographic,team performance and viability,67,,yes
10.1016/j.obhdp.2009.11.003,,,job-related,"Ethnic , agreeableness, and openness",Creativity,,,no
10.1002/9781444325447.ch12,,,demographic,Ethnic and gender,innovation,,,no
10.2139/ssrn.3995846,,,job-related,Location,,,,no
10.17811/ebl.10.3.2021.262-273,2016 [2013-2019],Vietnam,job-related,Gender,Profitability and Stability,,,no
10.1016/j.jbusres.2015.05.013,,,demographic,Gender,Firm performance and firm risk,,,no
10.5465/ambpp.2021.12465abstract,,Switzerland,demographic,Ethnic (Migrant workers),Team productivity,629,,no
22589,,,cognitive,,business performance measures comprising Balanced Scorecard,,,no
10.1016/j.jbusvent.2004.04.001,,,,,Creativity,,,
10.5465/amle.2020.0332,,,job-related,national,process performance metrics and solution creativity,"1,891","8,556 students",yes
10.5176/2251-2012_qqe14.23,,Switzerland; Germany,,Homogeneity or heterogeneity in spin-off teams,Success or Performance,131,,no
4785,,Singapore,,,Team performance,50,,no
10.1108/17410400610702160,1997 [1993-2001],Denmark,demographic,Women in top executive jobs and on boards of directors,Firm performance,,,no
10.1108/cg-12-2010-0096,2007,Indonesia,demographic,Gender,Financial performance (measured by return on assets and Tobin's q),,,no
10.1287/orsc.1080.0379,2009,,,Social category and information-based faultlines,Team discretionary awards,76,,no
10.1016/j.chb.2022.107608,,,,,Collaboration problem solving (CPS) and negotiation skills,,,
10.1016/j.obhdp.2013.04.003,,,cognitive,Cognitive styles (Object and Spatial Visualization),Errors in task execution,134 (70 in Study 1 and 64 in Study 2),,no
10.5465/ambpp.2017.11052abstract,,China,cognitive,,innovation work behavior (IWB),101,,no
10.5465/ambpp.2021.62,,China,demographic,Age,Team performance,71,,no
10.1007/s12144-022-03527-8,,China,,Age,Team performance,71,,no
10.5465/ambpp.2020.249,,Italy,job-related,Human capital,Board strategic involvement and firm performance,,,no
10.2139/ssrn.1100581,,,,Ethnic,Creativity,,,no
10.1142/s1363919621500821,,Thailand,demographic,Cultural,Team performance,,,no
10.1108/apjba-05-2019-0109,,Thailand,demographic,Cultural,Innovation,103,,no
10.5465/ambpp.2018.17949abstract,,,,,Innovation,,345 R&D project team members and 71 R&D project leaders,no
10.1177/104649640103200403,,,demographic,Racioethnic,Group efficacy (group outcome efficacy and group potency),42,,yes
23590,2001,,,,Productivity,,,no
10.1111/aswp.12125,,United States,,,Organizational,,14,no
10.1177/000312240907400203,1996.5 [1996-1997],,demographic,Race and Gender,"Sales revenue, customers, market share, and relative profits",,,no
10.1002/csr.2425,2013.5 [2009-2018],United States,,,Corporate carbon emission intensity,,,no
10.1111/acfi.12265,2003.5 [1994-2013],United States,,,Fund performance,,,no
10.1007/s11408-016-0266-8,2006 [1999-2013],Luxembourg,demographic,Gender (proportion of women in top management),Financial performance (future return on equity),,,no
10.1002/smj.1955,,,job-related,Gender,Firm Performance,,,no
10.1111/jasp.12533,,Netherlands,job-related,Functional,Team effectiveness,,167,no
10.1007/s11187-019-00263-5,,,job-related,Gender,Research and Development (R&D) intensity,,,yes
10.1016/j.obhdp.2017.09.005,,North Korea,demographic,Gender,Team creativity,,,no
10.1139/cjfr-2016-0040,2016,,demographic,Gender,Firm financial performance,,,no
10.1002/bse.2319,2019,China,demographic,Gender,Green innovation,,,no
10.1007/s11192-019-03282-x,,China,demographic,Gender,R&D efficiency,,,no
10.1007/s10726-013-9370-6,,,,,Public goods production,,,
10.5465/ambpp.2014.16569abstract,,,,,Wealth creation,,,
10.1177/00220221221115654,,United Kingdom,demographic,National,Competence ratings,101,519,no
10.5465/ambpp.2019.13126abstract,,China,job-related,Functional background,New venture performance,,460 observations from 285 NEEQ-listed new ventures,no
35023,2006,,job-related,,creativity,75,152,no
10.1007/s11187-020-00412-1,,Switzerland; Germany,job-related,Team,Success in university spin-offs (USOs),64,,no
10.1007/s11293-008-9156-4,,United States,demographic,Racial,Team performance,,,no
10.1080/10400419.2021.2009665,2021,,,,Creativity,69,282,no
10.3934/jimo.2019064,,,,,Creativity,,,no
10.2139/ssrn.980936,,,,Ethnic,Success of national team,,,
10.1002/csr.2042,,Taiwan,,Educational background heterogeneity and tenure heterogeneity,Firm performance,,,no
10.1108/pr-11-2018-0468,,United States,demographic,Cultural,Firm performance,,442 publicly listed IT companies,no
10.5465/ambpp.2016.11172abstract,,Taiwan,job-related,Education and Functional,Firm performance,,,no
10.1002/smj.604,,,job-related,,Foreign expansion,25,,no
10.1080/01449291003752922,,,,,Creativity,62,,no
10.1177/1056492602250518,,,,,,,,no
10.1111/apps.12116,2014,,,,Content-related team performance,,367 (number of member replacement acts analyzed),no
39703,,China,job-related,"Age separation, gender variety, functional variety, educational separation, salary disparity, share disparity",Family firm performance,,,no
19601,,China,,,Digital business model innovation,,,no
10.1016/j.jbusvent.2006.02.001,,United States,cognitive,Demographic,VC financing and IPO success,,,no
10.1108/02683941211252437,,,,Educational,Group effectiveness,54,267,no
35123,,Taiwan,cognitive,Knowledge and value,Project performance,,,no
35122,93,Taiwan,cognitive,Knowledge and value,Project performance,,,yes
10.1016/j.jbusres.2014.11.041,,Taiwan,demographic,"Age , professional tenure , and expertise",Organizational performance,,,no
10.1111/1468-0432.00129,,,demographic,Gender,Simulation performance,,,yes
10.2466/pr0.1982.50.1.171,,,,Trait heterogeneity,Quality of task solutions,,48,yes
10.1108/02635570710750408,,Taiwan,cognitive,Knowledge and value,Project performance,,,no
10.1080/09585192.2011.610343,,China,demographic,,Organizational innovation,,,no
10.1016/j.rpto.2014.11.002,,,,,"Team performance, team members' satisfaction",73,,no
10.1142/s0219877015500297,,Germany,job-related,Age and communication style,Innovation/new product development,232 German SMEs,,no
4247,,,demographic; cognitive,Cultural,Effectiveness and performance,,,no
10.1080/08959285.2019.1639712,,,job-related,Age and functional background,Creativity and knowledge sharing,128,,no
10.1023/a:1014914917655,,,,,,,,no
19442,2005 [2002-2008],,demographic,International,Team success (win percentages),,,no
35177,106,,demographic,Gender,Collaborative work in online teamwork (Creative group brainstorming),,,yes
10.1007/s11199-005-3732-8,,,demographic,Gender,Training performance and interpersonal behavior,,,
10.1037/1089-2699.3.4.279,,,,,Decision-making tasks,31 student work groups,,yes
10.5465/ambpp.2015.15427abstract,,South Korea,demographic,Age and gender,Creativity,104,,no
10.1177/1046496420988592,,,,,Student satisfaction and performance,,,yes
10.1037/0021-9010.62.1.76,,,job-related,Information heterogeneity,Social-emotional responses and member influence,40,,yes
35186,2012,,demographic,,Open service innovation,125,,no
10.5465/257093,,,,,,,,
35188,2005.5 [2005-2006],Taiwan,,,Firm value,,,no
10.1177/1046496418796281,,,demographic,,Team performance,34,164,yes
10.1037/0021-9010.60.5.537,,,cognitive,Information heterogeneity,Group process and outcome,24,,yes
10.1016/j.jbusres.2012.04.014,,,cognitive,Diverse expertise,New product ideation,,,no
43621,,,cognitive,Information-processing team composition,Problem-solving,,4-person teams,no
35200,94,,cognitive,Age,Team performance,,208,no
10.1177/1059601197223004,,,demographic,Gender and race,Team effectiveness,31,,no
10.17265/1537-1506/2013.08.003,,,,,Innovation,,,
35204,2009,,demographic,Characteristics,Organizational performance,64,,no
35205,99,,,,Organizational performance and managerial compensation,,,no
10.1002/sres.2176,2013,China,job-related,Functional background heterogeneity,Financial and growth performance,527,,no
4893,,Mexico,job-related,Functional and social,"Group processes and outputs (group cohesion, effective management of conflicts, job satisfaction, and group effectiveness)",,407,no
6934,,,,,Task performance and team processes,22,5-7 individuals per team,no
2625,,,,Ethnic,Creativity,,,yes
10.1177/1046496415578010,,,,,creativity,47,,no
10.2139/ssrn.4119886,,,,Emotional,Creativity,,,
10.1108/tpm-11-2015-0053,,,job-related,Employment arrangements,Work group performance,31,441,no
10.1016/j.im.2019.03.001,,,job-related,Knowledge,CFPT performance,96,,no
10.1287/isre.9.2.101,,,,,Team performance during requirements development phase,66,,no
10.5465/ambpp.2019.19133abstract,,,,"Race, class, gender and religion","Alliances, strategies, mobilization",,,no
35326,,,job-related,,Creativity,29,163,no
10.1111/jpim.12101,,,,,Creativity,119,,yes
6008,,,,,Firm performance (innovation),,,no
10.5465/ambpp.2018.10474abstract,,,,Imaginativeness,Startup Performance,50,,no
10.5465/ambpp.2016.12623symposium,,,demographic,Ethnic,Performance (not specified),,,
10.5465/ambpp.2022.12477abstract,,,,,Team performance,53,160,no
10.1016/j.jbusvent.2019.105965,,Netherlands,,Entrepreneurial passion,Quality of business ideas and venture performance,107,,no
10.5465/ambpp.2018.13498abstract,,,job-related,,Creativity,,,no
10.1142/s1363919617500384,,Cameroon,job-related,"Gender, skills, and experience",New venture performance,184,,no
10.5465/ambpp.2013.11536abstract,,,job-related,Functional specialty and personality,Entrepreneurial team performance,144,,yes
10.1177/1042258720902058,,,job-related; demographic,Bio-demographic,Team productivity,285,,no
10.5465/ambpp.2016.10840abstract,,China,demographic,Gender,Innovation,132,,no
10.1080/03075079.2022.2122658,,Italy,cognitive,Entrepreneurial team heterogeneity,Growth/Performance,,,no
10.3389/fpsyg.2021.717756,2021,China,cognitive,Entrepreneurial Team Knowledge (ETKD),Team Creativity (TC),42,252,no
35346,,Germany,job-related,"Team , personality traits",Project outcomes,,42,no
10.5465/apbpp.2001.6132988,1999,,demographic,,Sales level and sales growth,,,no
10.1177/2515127420905890,,,demographic,Ethnic,Creativity,,,no
10.1002/sej.41,,,,,Creativity/NA,,,
10.1002/bse.2229,2011.5 [2009-2014],China,,gender,Environmental performance and financial distress,749 firms,"over 3,000",no
39698,,,demographic; cognitive; job-related,"Relation-oriented and job-related , further categorized into surface-level and deep-level","Team processes (cohesiveness) and team performance, as well as a new outcome, external activity",62,62 team leaders and 280 engineers,no
40717,,"UK (for first chapter), developing countries (for second chapter), multinational (for third chapter)",,Gender,"Job performance, trust, economic activity",,"30,000 (for third chapter)",no
35397,,,,,Creativity and productivity,,,no
35417,,Belgium,,,Scientific productivity and team inventive performance,,,no
43124,,Sweden,demographic,Ethnic and Gender,,,,yes
10.1177/1046496403258793,,,demographic,Ethnic,Creativity,,,
10.1177/1046496496272003,,,demographic,Ethnic,Creativity,,,
10.1037/1089-2699.12.4.307,,,cognitive,Ethnic,Group Decision Making,63,,no
10.2139/ssrn.2105284,,,demographic,Ethnic,Team performance,,,no
10.1177/0022022110383314,,United Kingdom,demographic,Ethnic,Learning performance,87,412,no
10.1071/ah050211,,,,,,,,no
10.21818/001c.14526,,,,,Performance,,,no
10.1016/j.respol.2019.04.008,,United Kingdom,,Structurally diverse teams,Grant funding,,,no
10.54784/1990-6587.1319,,Pakistan,,,Creativity,,,no
9062,,,,,Innovation,,463,no
10.1080/09585192.2021.1988679,2021,,demographic,,Creativity,,,no
10.5465/ambpp.2018.13765abstract,,,demographic,age,team performance,,"254 (Study 1), 434 (Study 2)",
10.1108/ijis-02-2021-0027,,Ghana,job-related,Functional,Team innovation,,251,no
10.1108/tpm-11-2018-0070,,Indonesia,cognitive,,Team innovation,39,,no
10679,,,job-related,"Age, race, gender, and functional background",Decision quality,,,no
10.1108/ajb-11-2016-0036,,,,,Innovation,,,no
10.1111/1467-8551.12544,,,,,Firm Performance following cross-border acquisition decisions,,,no
10.1016/j.jvb.2017.04.002,2017,,,,Task performance and counterproductive work behaviors,52,340,no
10.5465/ambpp.2013.16068abstract,,,,,Creativity,,,
40872,,,job-related,Membership status and skills,Creativity and non-routine task performance,,,no
10.1016/j.psychsport.2022.102224,2020/21,,demographic,Cultural,Sporting results,728,,no
10.1111/j.1937-8327.1999.tb00118.x,,,,Ethnic,Creativity,,,
10.1108/arla-02-2015-0037,2015,Latin America; Europe,demographic,,"Sales, Return on Assets, and Return on Sales",159,,no
10.1590/s1807-76922012000200002,2012,Brazil,,,Team performance and job satisfaction,44,279,no
10.2307/2667029,,,,Multiple types of,Cognitive task performance,45,,no
4592,,,,Gender,Tacit coordination efficiency,,,no
10.5465/ambpp.2013.11367symposium,,,,,,,,
35652,98,,job-related,,Creativity,87,,no
10.3389/fpubh.2022.897482,,,,,Performance,81,365,no
10.1007/s10869-016-9453-x,,,,,Creativity and engagement,45,209 team members and 45 team managers,no
10.1007/s10869-012-9267-4,,,,Values,Team process criteria,60,306,no
10.1108/cms-12-2018-0791,,China,,,Innovation,,,no
35661,1996 [1990-2002],,demographic,,Quality of player selection in Major League Baseball,,,no
8537,1996 [1990-2002],,demographic,composition,Quality of player selection,,,no
10.5465/ambpp.2013.17605abstract,,,demographic,Gender and cultural,Team performance,90,,no
10.1109/tem.2019.2936502,,,,,creativity,3,,no
40920,,United States,,,Team performance,121,1200,no
10.1007/s12144-016-9445-z,,South Korea,,,Creativity,50,256,no
10.1007/s00191-022-00778-3,,Europe,cognitive,Founding team knowledge,Innovation,"1,800",,no
19359,,,cognitive,Discursive,Team performance,117,,no
10.5465/ambpp.2014.16876abstract,,,,,Creativity,44,211,no
10.5465/amj.2006.22083024,,Ten countries,demographic,Nationality,Group functioning,45,,yes
10.1037/a0027851,,,job-related,Surface-level (racial ),Implicit Coordination and Team Performance,,,
10.1108/cms-06-2018-0563,,China,,,Group creativity,95,405,no
10.5465/amj.2005.18803923,,,demographic,Ethnic,Poor performance,71,,no
10.1177/0018726706072891,,South Korea,demographic; cognitive,"Age, Tenure, Gender and Shared Mental Model",Team Effectiveness,,,no
10.1007/s11002-008-9052-3,,,job-related,competence,new product performance,,142 (product and sales managers),no
10.1108/s0742-730120180000036005,,,,,,,,
10.1177/1046496420978298,,,cognitive,Information-based faultlines,Team creativity,68,,no
10.1177/0893318919860799,,,demographic,,Innovation,27,165,no
10.5465/ambpp.2019.18665symposium,,,demographic; cognitive; job-related,ethnic,performance or decision-making,,,
10.1207/s15326934crj1701_5,,,cognitive,,Creativity,,,
10.1002/job.2535,,,,,Creativity,59,,no
3995,,,demographic,Gender,Bank performance and risk-taking,,,no
10.7202/1053686ar,,,demographic,Gender,Creativity,,463,yes
10.1177/1467358414538997,,,demographic,gender,financial performance,,,no
10.5465/ambpp.2013.14184abstract,,,job-related,,"Cohesion, collective efficacy, shared mental model",82,,no
10.5465/ambpp.2016.12235abstract,,,,Female Leadership,Financial and nonfinancial performance,,,no
10.5465/ambpp.2018.16756abstract,,China,demographic,Gender (female representation in ),Firm innovation,,304,no
10.5465/ambpp.2021.13579abstract,2012.5 [2008-2017],Korea; United Kingdom,job-related,Gender,Firm profitability from innovation-oriented intangible assets,201,,no
10.5465/ambpp.2017.17098abstract,,,job-related,Gender and Physical Attractiveness,Firm financial performance (ROA),,,no
10.1002/job.1777,2012,,demographic; cognitive; job-related,Cultural value orientation,Team performance,,,yes
10.1097/00006199-200611000-00001,,,job-related,,Affective and cognitive,222,,no
10.1177/1059601106286882,,,,,Group performance,,,no
22646,,,demographic; cognitive,,Performance,,,no
10.4324/9781315224114-12,2007,,demographic,Black student athletes and at-risk students,,,,yes
10.1287/msom.1100.0321,,India,cognitive; job-related,Experience (interpersonal and intrapersonal),Project performance,,,no
35781,,Sweden,demographic,,Financial performance,,,no
10.1016/j.respol.2019.03.019,2000 [1990-2010],United States,job-related,Migrant inventors,Patent quality,,,no
10.1007/s11575-007-0005-5,,,,,Innovation,,,no
10.1016/b978-0-12-819993-0.00004-7,,,job-related,Intercultural,Creativity,,,no
10.21511/ppm.19(1).2021.14,2021,Vietnam,job-related,,Service innovative behavior (SIB),,242,no
10.1177/10596011211009683,,,demographic; cognitive; job-related,,creativity,"38 (Study 2), 93 (Study 3)",491 (Study 1),no
10.1037/a0029159,,,cognitive,of perspectives and knowledge,Creativity,,,no
10.1287/orsc.1090.0485,,,,,Creativity,,,no
10.1007/s11365-011-0188-x,,United States,demographic,Founder nativity or nationality,Firm performance in high-tech sector,,,no
10.1016/j.technovation.2013.09.004,,Italy,,,Growth,103,,no
10.33423/jbd.v21i2.4322,,,,,,,,
10.5465/ambpp.2022.15038abstract,2015 [2011-2019],China,,with female executives,R&D investment,,,no
10.1111/joms.12668,,United States,cognitive,,Business model innovation (BMI),,,no
10.5465/ambpp.2014.15520abstract,,,cognitive,educational background,innovation,51,,no
10.2307/30040667,,,,,Individual performance in cross-functional teams,,,
10.1177/0021886315591364,,,job-related,Functional,Creativity,155,,no
10.1108/jmp-01-2012-0020,,,job-related,Functional appropriateness perceptions,Team performance and teamwork processes,48,,no
10.1093/acprof:oso/9780199861378.003.0013,,,job-related,Functional,Project team performance,,,
10.1111/caim.12155,,,job-related,Functional,Product success,,239,no
10.1108/jea-09-2015-0079,2016,Israel,,,"In-role performance, innovation",92,,no
10.1037/apl0000231,,,,Identity and Information faultlines,Team creativity and decision-making,184,,no
10.1145/2702123.2702549,2015,,job-related,Gender and tenure,Productivity and turnover,,,no
10.1108/13527590710831864,,,demographic,Gender,Computer-based task performance,,,
10.1017/9781108579360.015,,Turkey,demographic,Gender,Sustainability performance,,,no
10.1080/09599916.2018.1549587,2010 [2005-2015],United States,job-related,Gender,Market performance (Price/NAV),112,,no
22782,,,job-related,Gender,Financial performance (ROA and ROS),,,no
35857,2013,47 countries (data from The Enterprise Surveys of the World Bank),demographic,Gender,Innovation (both incremental and radical),,,no
10.1142/s1363919620500619,,Sweden,demographic,Gender,Innovation-related employee productivity,,,no
10.1007/s11218-017-9419-5,,,demographic,Gender,Collaborative learning effectiveness,,,yes
10.1002/csr.2191,2015 [2011-2019],48 countries,demographic,Gender,Sustainability performance,,,no
10.1002/job.2630,,,cognitive,Gender,Team performance under time pressure,142,,no
10.1016/j.respol.2019.103885,2011 [2009-2013],China,demographic,Gender,Innovation efficiency,,,no
10.4337/9781786438973.00023,,Spain,demographic,Gender,Open innovation,,,no
10.1111/joes.12420,2013 [2008-2018],,demographic,Gender,Citation impact,,,no
10.1016/j.respol.2019.03.013,,,job-related,Gender,Firm performance,,,no
10.1016/j.respol.2019.03.006,,,job-related,Gender,per-paper citation impact,,,no
35859,96 (Taiwan) and continuous 5 years from Korean Listed Companies Association,Taiwan; Korea,demographic,Gender,Organizational performance,,,no
10.5465/ambpp.2014.14056abstract,,Denmark,demographic,Gender,Financial performance,,,no
10.1016/j.lrp.2015.08.005,,United States,job-related,Gender,IPO success,,,no
10.1108/cg-07-2019-0206,,,job-related,Gender,Business performance,,,no
10.7433/s118.2022.08,2011.5 [2008-2015],Italy,,Female directors,Board processes,,,no
10.2139/ssrn.3050370,,United States,demographic; job-related,Gender,,,,no
10.5172/impp.2013.15.2.149,,Spain,demographic,Gender,Radical innovation,,,no
10.1177/1046496496271004,,,demographic,Gender,Decision Quality,96,,no
10.5465/ambpp.2017.11131abstract,,,,and Board gender heterogeneity,Strategic change,,,no
10.5465/ambpp.2019.12064abstract,,China,demographic,Gender,Strategic change and long-term performance (Tobin's q),,"1,433",no
10.1016/j.labeco.2022.102269,,,demographic,Gender,Team performance,,,yes
10.2139/ssrn.3782653,,,,Gender,Team performance,,,
10.1073/pnas.2200841119,Since 2000,,demographic,Gender,Novelty and impact of scientific ideas,,,no
10.1371/journal.pone.0079147,,,job-related,Gender,Article quality,,,no
10.1111/radm.12496,2009 [2004-2014],Spain,job-related,Gender and Occupational,Patent generation,,,no
10.1016/j.im.2011.04.004,,,,,Creativity (high-quality articles in Wikipedia),,,
10.1016/j.apmrv.2017.02.001,,Indonesia,demographic,Generational,Decision-making,60,,no
10.1348/096317905x72128,,,job-related,Multidisciplinarity,Innovation,66 and 95,,no
10.1287/orsc.2019.1324,,,,,Team and individual performance,160,859,yes
10.1007/978-3-8349-3869-5_3,,,,,,,,no
10.1371/journal.pone.0254656,,,demographic,Multicultural,Leadership effectiveness in multicultural settings,77,298,yes
10.1111/ecoj.12369,,United States,demographic,Ethnic,Creativity,,,no
10.1016/j.indmarman.2010.08.011,,,,,Creativity,113,273,no
10.1287/orsc.2021.1480,,"Australia, Britain, China, America",demographic,Multicultural,Leadership effectiveness,,,no
10.1177/0018726712464076,,United States,demographic,Nationality,Community performance,30,200,no
10.1108/13527591011053269,,,,Cultural,Team performance,9,,no
10.5465/ambpp.2018.13682abstract,,,demographic; cognitive; job-related,Ethnic (Language proficiency),Creativity (Team performance),45,,yes
35912,1999,,demographic; cognitive; job-related,,Team results and efficiency,,,no
15922,,,,,Firm performance,49,,no
10.1080/00140139.2013.875597,,,job-related,Age and gender,Absenteeism and error rates,56,623,no
9521,,,,,Team learning behaviors and team performance,51,,no
10.18848/1833-1882/cgp/v05i04/51694,,,job-related,Full-time work experience,Group performance,154,,yes
10.1016/0022-1031(67)90035-2,,,cognitive,Abstractness and dominance,Unstructured problem-solving task and structured role-following task,12,,
10.12776/qip.v23i3.1286,,United States,,,Creativity,105,349,yes
10.4236/ce.2012.34062,,,,,Creativity,,,yes (mentioned learning context)
2316,,,,Ethnic,Creativity,,,
10.1016/j.ijforecast.2010.05.009,,,,,Decision quality,,,
10.1108/ijchm-06-2021-0822,,China,job-related,Extraversion and openness,Service innovative behavior,44,,no
4740,,,job-related,"Demographic, Skill, and Cultural (specifically, collectivism value)",Group cooperation and performance,79,,no
10.1080/00223980.1966.10543030,,,,,creativity,,,
10.5465/ambpp.2012.244,,,job-related,Age,Team performance,43,,no
10.1177/0956797612463082,,,job-related,Disciplinary and institutional heterogeneity,Publication and citation productivity,549,,no
4373,,,,,Creativity,,,
10.5465/ambpp.2017.11411abstract,,,job-related,Educational background,Firm financial performance,48,,no
10.1007/s10490-018-9627-3,,South Korea,demographic,,Overall group performance,50,,no
10.2130/jjesp.1217,,,,Ethnic,Group problem solving performance,,,
10.1002/job.661,2009,,demographic,"Relation-oriented attributes (gender, age, and race) and a task-related attribute (tenure)",Group-level organizational citizenship behavior,62,,no
10.1093/sf/soy063,,,cognitive,Ethnic,Synergy,2,50,
35969,,,job-related,"Age, gender, education level, and skills level",Technical efficiency,411,,no
41077,,,job-related,Cultural,Innovation,55,438,no
35973,,,,Ethnic,Creativity,,,
10.1016/j.hrmr.2018.11.003,,,,Ethnic,Creativity,,,
10.2139/ssrn.2333289,,,,Ethnic and linguistic,Team performance,,,no
35976,2012,,demographic,,Team performance,65,427 followers and 70 leaders participated in the study while 402 valid questionnaires were obtained.,no
10.5465/ambpp.2015.18860abstract,,,job-related,,Creativity/ New venture performance,,,
10.1080/1359432x.2017.1337747,,,demographic,National background,Creativity (both individual and team),"70 (field study), 24 (quasi-experimental study)","621 (field study), 104 (quasi-experimental study)",yes
10.1016/j.leaqua.2019.101343,,,job-related,Goal orientation,Creativity and information elaboration,,,no
10.2139/ssrn.4181887,,China,demographic,,Cooperative performance,,,no
10.1037/h0043499,1959,,,,Problem-solving,2,,no
43690,2018,,,,Group decision-making exercise,74,,no
10.1037/t29148-000,,,job-related,,service innovation,,,no
10.2139/ssrn.3454089,,,,Type: Age,Firm performance,,,
10.5465/ambpp.2021.15451abstract,,Germany,job-related,Disability,Innovation,,"7,037",no
10.7287/peerj.preprints.2285v1,,,demographic,Gender and Nationality,Issue Fixing Time and Politeness,,,no
10.1177/0146167221992220,,,job-related,Task-related,Group and individual performance (creativity),,,no
10.1111/radm.12139,2007.5 [2006-2009],,job-related,"Functional, status, educational, and institutional",Scientific performance/publication,,,no
10.5465/ambpp.2014.212,1997.5 [1991-2004],,,,Innovation quality,"15,946",,no
10.1111/etap.12131,,Belgium; United States,,,Innovativeness,54,,no
10.5465/ambpp.2014.15836abstract,,China,demographic,Ethnic,Group performance,36,605,no
10.5465/ambpp.2020.17741abstract,,,job-related,Functional,Team innovation,37,,no
10.1108/jkm-01-2020-0008,,,job-related,Knowledge heterogeneity,Innovation,,207,no
10.1509/jmr.15.0201,,,,,Effort in contests,,,
10.5465/ambpp.2018.18445abstract,,,job-related,Gender,Corporate social performance,,,no
10.1108/md-02-2017-0147,,Taiwan,,"Educational, functional and team tenure",Continual growth,,,no
